name,municipality
Odborné učilište internátne (Lučenec),Lučenec
Odborné učilište internátne (Mojmírovce),Mojmírovce
Odborné učilište internátne (Nová Ves nad Žitavou),Nová Ves nad Žitavou
Odborné učilište internátne (Poprad),Poprad
Odborné učilište internátne (Prešov),Prešov
Odborné učilište internátne (Želovce),Želovce
Odborné učilište internátne - Bentlakásos Speciális Szakiskola ako organizačná zložka Spojenej školy,Okoč
Odborné učilište internátne ako organizačná zložka Spojenej školy internátnej,Tornaľa
Odborné učilište internátne Viliama Gaňu,Banská Bystrica
Odborné učilište pri reedukačnom centre,Veľké Leváre
Piaristická spojená škola Františka Hanáka,Prievidza
Piaristické gymnázium Jozefa Braneckého,Trenčín
Piaristické gymnázium sv. Jozefa Kalazanského ako organizačná zložka Piaristickej spojenej školy sv. Jozefa Kalazanského,Nitra
Praktická škola,Sečovce
Praktická škola - Készségfejlesztő ako organizačná zložka Spojenej školy,Kráľovský Chlmec
Praktická škola - Készségfejlesztő Iskola ako organizačná zložka Spojenej školy,Sládkovičovo
Praktická škola ako organizačná zložka Spojenej školy (Dubnica nad Váhom),Dubnica nad Váhom
Praktická škola ako organizačná zložka Spojenej školy (Kežmarok),Kežmarok
Praktická škola ako organizačná zložka Spojenej školy (Komárno),Komárno
Praktická škola ako organizačná zložka Spojenej školy (Martin),Martin
Praktická škola ako organizačná zložka Spojenej školy (Myjava),Myjava
Praktická škola ako organizačná zložka Spojenej školy (Nové Mesto nad Váhom),Nové Mesto nad Váhom
Praktická škola ako organizačná zložka Spojenej školy (Pavlovce nad Uhom),Pavlovce nad Uhom
Praktická škola ako organizačná zložka Spojenej školy (Piešťany),Piešťany
Praktická škola ako organizačná zložka Spojenej školy (Poprad),Poprad
Praktická škola ako organizačná zložka Spojenej školy (Považská Bystrica),Považská Bystrica
Praktická škola ako organizačná zložka Spojenej školy (Prešov),Prešov
Praktická škola ako organizačná zložka Spojenej školy (Púchov),Púchov
Praktická škola ako organizačná zložka Spojenej školy (Trenčianska Teplá),Trenčianska Teplá
Praktická škola ako organizačná zložka Spojenej školy (Trnava),Trnava
Praktická škola ako organizačná zložka Spojenej školy (Vranov nad Topľou),Vranov nad Topľou
Praktická škola ako organizačná zložka Spojenej školy (Vrbové),Vrbové
Praktická škola ako organizačná zložka Spojenej školy (Čadca),Čadca
Praktická škola ako organizačná zložka Spojenej školy internátnej (Bytča),Bytča
Praktická škola ako organizačná zložka Spojenej školy internátnej (Levice),Levice
Praktická škola ako organizačná zložka Spojenej školy internátnej (Nitra),Nitra
Praktická škola ako organizačná zložka Spojenej školy internátnej (Prievidza),Prievidza
Praktická škola ako organizačná zložka Spojenej školy internátnej (Topoľčany),Topoľčany
Praktická škola ako súčasť Špeciálnej základnej školy (Banská Bystrica),Banská Bystrica
Praktická škola ako súčasť Špeciálnej základnej školy (Jelšava),Jelšava
Praktická škola ako súčasť Špeciálnej základnej školy (Lučenec),Lučenec
Praktická škola ako súčasť Špeciálnej základnej školy (Rimavská Sobota),Rimavská Sobota
Praktická škola internátna ako organizačná zložka Spojenej školy,Senica
Praktická škola internátna ako organizačná zložka Spojenej školy internátnej (Levoča),Levoča
Praktická škola internátna ako organizačná zložka Spojenej školy internátnej (Prešov),Prešov
Praktická škola internátna ako organizačná zložka Spojenej školy internátnej (Spišské Vlachy),Spišské Vlachy
Praktická škola internátna ako organizačná zložka Spojenej školy internátnej (Ždaňa),Ždaňa
Praktická škola s vyučovacím jazykom maďarským - Készégfejlesztö Iskola ako organizačná zložka Spojenej školy,Dunajská Streda
Praktická škola s vyučovacím jazykom maďarským ako súčasť Špeciálnej základnej školy s vyučovacím jazykom maďarským,Rimavská Sobota
Praktická škola sv. Jozefa ako organizačná zložka Spojenej školy sv. Jozefa,Turzovka
Praktická škola sv. Maximiliána Mária Kolbeho ako organizačná zložka Spojenej školy sv.M.M.Kolbeho,Spišská Nová Ves
"Praktická škola, ako organizačná zložka Spojenej školy (Bratislava-Dúbravka)",Bratislava-Dúbravka
"Praktická škola, ako organizačná zložka Spojenej školy (Bratislava-Karlova Ves)",Bratislava-Karlova Ves
"Praktická škola, ako organizačná zložka Spojenej školy (Malacky)",Malacky
"Praktická škola, ako organizačná zložka Spojenej školy (Pezinok)",Pezinok
"Praktická škola, ako organizačná zložka Spojenej školy (Senec)",Senec
Premonštrátske gymnázium,Košice-Staré Mesto
Reedukačné centrum (Hlohovec),Hlohovec
Reedukačné centrum (Levoča),Levoča
Reedukačné centrum (Sološnica),Sološnica
Reedukačné centrum (Tornaľa),Tornaľa
Spojena škola,Dunajská Streda
Spojená katolícka škola,Nitra
Spojená škola (Banská Bystrica),Banská Bystrica
Spojená škola (Bardejov),Bardejov
Spojená škola (Bratislava-Karlova Ves),Bratislava-Karlova Ves
Spojená škola (Bratislava-Ružinov),Bratislava-Ružinov
Spojená škola (Chminianske Jakubovany),Chminianske Jakubovany
Spojená škola (Dobšiná),Dobšiná
Spojená škola (Hlohovec),Hlohovec
Spojená škola (Holíč),Holíč
Spojená škola (Ivanka pri Dunaji),Ivanka pri Dunaji
Spojená škola (Košice-Juh),Košice-Juh
Spojená škola (Košice-Vyšné Opátske),Košice-Vyšné Opátske
Spojená škola (Lipany),Lipany
Spojená škola (Medzilaborce),Medzilaborce
Spojená škola (Moldava nad Bodvou),Moldava nad Bodvou
Spojená škola (Nitra),Nitra
Spojená škola (Nižná),Nižná
Spojená škola (Nová Baňa),Nová Baňa
Spojená škola (Nové Zámky),Nové Zámky
Spojená škola (Pezinok),Pezinok
Spojená škola (Poltár),Poltár
Spojená škola (Prešov),Prešov
Spojená škola (Prievidza),Prievidza
Spojená škola (Rudňany),Rudňany
Spojená škola (Ružomberok),Ružomberok
Spojená škola (Sabinov),Sabinov
Spojená škola (Sečovce),Sečovce
Spojená škola (Spišská Nová Ves),Spišská Nová Ves
Spojená škola (Spišský Štiavnik),Spišský Štiavnik
Spojená škola (Stará Ľubovňa),Stará Ľubovňa
Spojená škola (Trnava),Trnava
Spojená škola (Veľké Kapušany),Veľké Kapušany
Spojená škola (Čaklov),Čaklov
Spojená škola (Šaľa),Šaľa
Spojená škola internátna (Bratislava-Karlova Ves),Bratislava-Karlova Ves
Spojená škola internátna (Bratislava-Nové Mesto),Bratislava-Nové Mesto
Spojená škola internátna (Humenné),Humenné
Spojená škola internátna (Kremnica),Kremnica
Spojená škola internátna (Kysucké Nové Mesto),Kysucké Nové Mesto
Spojená škola internátna (Levoča),Levoča
Spojená škola internátna (Liptovský Mikuláš),Liptovský Mikuláš
